"id_play","offense_play","offense_conference","defense_play","defense_conference","home","away","offense_score","defense_score","game_id","drive_id","drive_number","play_number","period","clock.minutes","clock.seconds","offense_timeouts","defense_timeouts","yard_line","yards_to_goal","down","distance","scoring","yards_gained","play_type","play_text","ppa","wallclock","spread.x","formatted_spread.x","over_under.x","spread.y","formatted_spread.y","over_under.y","orig_drive_number","drive_scoring","drive_start_period","drive_start_yards_to_goal","drive_end_period","drive_end_yards_to_goal","drive_yards","drive_result","drive_is_home_offense","drive_start_offense_score","drive_start_defense_score","drive_end_offense_score","drive_end_defense_score","drive_time_minutes_start","drive_time_seconds_start","drive_time_minutes_end","drive_time_seconds_end","drive_time_minutes_elapsed","drive_time_seconds_elapsed","drive_pts","season","wk"
"401532572101854501","Bryant","Big South-OVC","UNLV","Mountain West","UNLV","Bryant",0,0,401532572,4015325722,1,1,1,14,54,3,3,65,65,1,10,FALSE,31,"Kickoff","Ethan Gettman kickoff for 65 yds , Jacob De Jesus return for 31 yds to the UNLV 31",NA,"2023-09-02T20:05:24.000Z",NA,NA,NA,NA,NA,NA,1,TRUE,1,69,1,3,69,"TD",TRUE,0,0,7,0,14,40,0,0,0,0,7,2023,1
"401532572101855901","UNLV","Mountain West","Bryant","Big South-OVC","UNLV","Bryant",7,0,401532572,4015325722,1,2,1,14,40,3,3,31,69,1,10,TRUE,69,"Rushing Touchdown","Vincent Davis Jr. run for 69 yds for a TD (Jose Pizano KICK)","5.6072910051150497","2023-09-02T20:05:24.000Z",NA,NA,NA,NA,NA,NA,1,TRUE,1,69,1,3,69,"TD",TRUE,0,0,7,0,14,40,0,0,0,0,7,2023,1
"401532572101858301","UNLV","Mountain West","Bryant","Big South-OVC","UNLV","Bryant",7,0,401532572,4015325724,2,1,1,14,16,3,3,35,65,1,10,FALSE,15,"Kickoff","Jose Pizano kickoff for 65 yds , Anthony Frederick return for 15 yds to the BRY 15",NA,"2023-09-02T20:07:14.000Z",NA,NA,NA,NA,NA,NA,2,FALSE,1,85,2,59,26,"DOWNS",FALSE,0,7,0,7,0,0,11,27,2,49,0,2023,1
"401532572101887201","Bryant","Big South-OVC","UNLV","Mountain West","UNLV","Bryant",0,7,401532572,4015325724,2,2,1,11,27,3,3,59,59,4,1,FALSE,0,"Rush",NA,"-0.5112883607031327","2023-09-02T20:05:24.000Z",NA,NA,NA,NA,NA,NA,2,FALSE,1,85,2,59,26,"DOWNS",FALSE,0,7,0,7,0,0,11,27,2,49,0,2023,1
"401532572101000001","Bryant","Big South-OVC","UNLV","Mountain West","UNLV","Bryant",0,7,401532572,4015325724,2,3,1,0,0,3,3,85,85,1,10,FALSE,8,"Pass Reception","Zevi Eckhaus pass complete to Anthony Frederick for 8 yds to the BRY 23","0.6856189176956029","2023-09-02T20:42:00.000Z",NA,NA,NA,NA,NA,NA,2,FALSE,1,85,2,59,26,"DOWNS",FALSE,0,7,0,7,0,0,11,27,2,49,0,2023,1
"401532572101000002","Bryant","Big South-OVC","UNLV","Mountain West","UNLV","Bryant",0,7,401532572,4015325724,2,4,1,0,0,3,3,77,77,2,2,FALSE,9,"Pass Reception","Zevi Eckhaus pass complete to Jalen Powell for 9 yds to the BRY 32 for a 1ST down","0.4160319165377473","2023-09-02T20:42:00.000Z",NA,NA,NA,NA,NA,NA,2,FALSE,1,85,2,59,26,"DOWNS",FALSE,0,7,0,7,0,0,11,27,2,49,0,2023,1
"401532572101000003","Bryant","Big South-OVC","UNLV","Mountain West","UNLV","Bryant",0,7,401532572,4015325724,2,5,1,0,0,3,3,68,68,1,10,FALSE,2,"Rush","Fabrice Mukendi run for 2 yds to the BRY 34","-0.5836824413377926","2023-09-02T20:42:00.000Z",NA,NA,NA,NA,NA,NA,2,FALSE,1,85,2,59,26,"DOWNS",FALSE,0,7,0,7,0,0,11,27,2,49,0,2023,1
"401532572101000004","Bryant","Big South-OVC","UNLV","Mountain West","UNLV","Bryant",0,7,401532572,4015325724,2,6,1,0,0,3,3,66,66,2,8,FALSE,3,"Rush","Zevi Eckhaus run for 3 yds to the BRY 37","-0.2883912835709106","2023-09-02T20:42:00.000Z",NA,NA,NA,NA,NA,NA,2,FALSE,1,85,2,59,26,"DOWNS",FALSE,0,7,0,7,0,0,11,27,2,49,0,2023,1
"401532572101000005","Bryant","Big South-OVC","UNLV","Mountain West","UNLV","Bryant",0,7,401532572,4015325724,2,7,1,0,0,3,3,63,63,3,5,FALSE,4,"Pass Reception","Zevi Eckhaus pass complete to Landon Ruggieri for 4 yds to the BRY 41","-0.0973271987463046","2023-09-02T20:42:00.000Z",NA,NA,NA,NA,NA,NA,2,FALSE,1,85,2,59,26,"DOWNS",FALSE,0,7,0,7,0,0,11,27,2,49,0,2023,1
"401532572101915001","UNLV","Mountain West","Bryant","Big South-OVC","UNLV","Bryant",14,0,401532572,4015325725,3,1,1,8,49,3,3,82,18,1,10,TRUE,18,"Rushing Touchdown","Jai'Den Thomas 18 Yd Run (Andre Meono Kick)","2.591792709070591","2023-09-02T20:05:24.000Z",NA,NA,NA,NA,NA,NA,3,TRUE,1,41,2,3,41,"TD",TRUE,7,0,14,0,0,0,0,0,2,38,7,2023,1
